"st_fips","state","estimate","moe","year","sex","age"
1,"Alabama",157229,4195,2013,"M","55-59"
1,"Alabama",58117,3102,2013,"M","60-61"
1,"Alabama",82561,3616,2013,"M","62-64"
1,"Alabama",52158,3170,2013,"M","65-66"
1,"Alabama",59964,2851,2013,"M","67-69"
1,"Alabama",80536,3209,2013,"M","70-74"
1,"Alabama",56488,2330,2013,"M","75-79"
1,"Alabama",33241,2102,2013,"M","80-84"
1,"Alabama",26618,2143,2013,"M","85+"
1,"Alabama",145046,2955,2013,"F","00-04"
1,"Alabama",146486,4983,2013,"F","05-09"
1,"Alabama",160021,5246,2013,"F","10-14"
1,"Alabama",93566,2542,2013,"F","15-17"
1,"Alabama",71717,3075,2013,"F","18-19"
1,"Alabama",35734,3293,2013,"F","20"
1,"Alabama",32337,3129,2013,"F","21"
1,"Alabama",106610,4422,2013,"F","22-24"
1,"Alabama",154599,2440,2013,"F","25-29"
1,"Alabama",154319,2804,2013,"F","30-34"
1,"Alabama",157147,5220,2013,"F","35-39"
1,"Alabama",159112,4565,2013,"F","40-44"
1,"Alabama",160670,2263,2013,"F","45-49"
1,"Alabama",177902,1801,2013,"F","50-54"
1,"Alabama",172799,4875,2013,"F","55-59"
1,"Alabama",59618,3116,2013,"F","60-61"
1,"Alabama",91637,4558,2013,"F","62-64"
1,"Alabama",59119,3312,2013,"F","65-66"
1,"Alabama",71808,3204,2013,"F","67-69"
1,"Alabama",96126,3879,2013,"F","70-74"
1,"Alabama",75552,3830,2013,"F","75-79"
1,"Alabama",53527,2521,2013,"F","80-84"
1,"Alabama",56401,3334,2013,"F","85+"
1,"Alabama",4833722,NA,2013,NA,"total"
1,"Alabama",150471,2593,2014,"M","00-04"
1,"Alabama",156723,4818,2014,"M","05-09"
1,"Alabama",162239,5576,2014,"M","10-14"
1,"Alabama",96696,3024,2014,"M","15-17"
1,"Alabama",69481,3786,2014,"M","18-19"
1,"Alabama",35092,3429,2014,"M","20"
1,"Alabama",34232,2971,2014,"M","21"
1,"Alabama",106265,4380,2014,"M","22-24"
1,"Alabama",149533,2837,2014,"M","25-29"
1,"Alabama",150052,2685,2014,"M","30-34"
1,"Alabama",144270,5101,2014,"M","35-39"
1,"Alabama",157360,5013,2014,"M","40-44"
1,"Alabama",148575,2351,2014,"M","45-49"
1,"Alabama",166364,2176,2014,"M","50-54"
1,"Alabama",160897,4045,2014,"M","55-59"
1,"Alabama",58904,3349,2014,"M","60-61"
1,"Alabama",78699,3683,2014,"M","62-64"
1,"Alabama",48343,2929,2014,"M","65-66"
1,"Alabama",65918,3545,2014,"M","67-69"
1,"Alabama",86290,3510,2014,"M","70-74"
1,"Alabama",58603,2449,2014,"M","75-79"
1,"Alabama",37820,2160,2014,"M","80-84"
1,"Alabama",25142,2015,2014,"M","85+"
1,"Alabama",140689,2830,2014,"F","00-04"
1,"Alabama",147731,5121,2014,"F","05-09"
1,"Alabama",159558,4467,2014,"F","10-14"
1,"Alabama",94493,2267,2014,"F","15-17"
1,"Alabama",68955,3050,2014,"F","18-19"
1,"Alabama",35861,3251,2014,"F","20"
1,"Alabama",34268,3441,2014,"F","21"
1,"Alabama",99857,4406,2014,"F","22-24"
1,"Alabama",156727,2371,2014,"F","25-29"
1,"Alabama",159636,2772,2014,"F","30-34"
1,"Alabama",149077,4932,2014,"F","35-39"
1,"Alabama",162527,4517,2014,"F","40-44"
1,"Alabama",158721,2565,2014,"F","45-49"
1,"Alabama",177544,2200,2014,"F","50-54"
1,"Alabama",171349,4328,2014,"F","55-59"
1,"Alabama",69330,4001,2014,"F","60-61"
1,"Alabama",90689,3965,2014,"F","62-64"
1,"Alabama",61002,2670,2014,"F","65-66"
1,"Alabama",73801,3199,2014,"F","67-69"
1,"Alabama",98890,3562,2014,"F","70-74"
1,"Alabama",76681,3283,2014,"F","75-79"
1,"Alabama",55615,2655,2014,"F","80-84"
1,"Alabama",58407,3088,2014,"F","85+"
1,"Alabama",4849377,NA,2014,NA,"total"
1,"Alabama",146407,3025,2015,"M","00-04"
1,"Alabama",161740,5399,2015,"M","05-09"
1,"Alabama",158823,5735,2015,"M","10-14"
1,"Alabama",98678,2557,2015,"M","15-17"
1,"Alabama",67288,2945,2015,"M","18-19"
1,"Alabama",36997,3023,2015,"M","20"
1,"Alabama",37795,3500,2015,"M","21"
1,"Alabama",93612,4334,2015,"M","22-24"
1,"Alabama",154285,2918,2015,"M","25-29"
1,"Alabama",150527,3428,2015,"M","30-34"
1,"Alabama",147593,4851,2015,"M","35-39"
1,"Alabama",149521,4792,2015,"M","40-44"
1,"Alabama",148508,2304,2015,"M","45-49"
1,"Alabama",165317,2549,2015,"M","50-54"
1,"Alabama",162458,6156,2015,"M","55-59"
1,"Alabama",58472,3700,2015,"M","60-61"
1,"Alabama",85484,4143,2015,"M","62-64"
1,"Alabama",52587,2638,2015,"M","65-66"
1,"Alabama",70314,3133,2015,"M","67-69"
1,"Alabama",85736,3068,2015,"M","70-74"
1,"Alabama",56675,2697,2015,"M","75-79"
1,"Alabama",37707,2257,2015,"M","80-84"
1,"Alabama",26286,2199,2015,"M","85+"
1,"Alabama",138715,3426,2015,"F","00-04"
1,"Alabama",156432,5296,2015,"F","05-09"
1,"Alabama",149658,4417,2015,"F","10-14"
1,"Alabama",97955,2717,2015,"F","15-17"
1,"Alabama",68303,3298,2015,"F","18-19"
1,"Alabama",30497,2990,2015,"F","20"
1,"Alabama",36955,3258,2015,"F","21"
1,"Alabama",96872,4524,2015,"F","22-24"
1,"Alabama",163670,2780,2015,"F","25-29"
1,"Alabama",155990,2424,2015,"F","30-34"
1,"Alabama",156724,5682,2015,"F","35-39"
1,"Alabama",158355,5215,2015,"F","40-44"
1,"Alabama",155891,2150,2015,"F","45-49"
1,"Alabama",174290,1951,2015,"F","50-54"
1,"Alabama",172912,4626,2015,"F","55-59"
1,"Alabama",69783,3572,2015,"F","60-61"
1,"Alabama",90625,3729,2015,"F","62-64"
1,"Alabama",57793,2782,2015,"F","65-66"
1,"Alabama",79947,3768,2015,"F","67-69"
1,"Alabama",103742,3783,2015,"F","70-74"
1,"Alabama",79124,3395,2015,"F","75-79"
1,"Alabama",56304,2940,2015,"F","80-84"
1,"Alabama",55632,2581,2015,"F","85+"
1,"Alabama",4858979,NA,2015,NA,"total"
1,"Alabama",143427,2872,2016,"M","00-04"
1,"Alabama",162049,5181,2016,"M","05-09"
1,"Alabama",155997,4919,2016,"M","10-14"
1,"Alabama",103766,3257,2016,"M","15-17"
1,"Alabama",68900,2735,2016,"M","18-19"
1,"Alabama",35896,3123,2016,"M","20"
1,"Alabama",34648,3318,2016,"M","21"
1,"Alabama",91324,4316,2016,"M","22-24"
1,"Alabama",163233,3362,2016,"M","25-29"
1,"Alabama",148206,4213,2016,"M","30-34"
1,"Alabama",144632,4935,2016,"M","35-39"
1,"Alabama",146559,4571,2016,"M","40-44"
1,"Alabama",150129,2534,2016,"M","45-49"
1,"Alabama",162874,2715,2016,"M","50-54"
1,"Alabama",162520,4901,2016,"M","55-59"
1,"Alabama",56712,3164,2016,"M","60-61"
1,"Alabama",86410,3723,2016,"M","62-64"
1,"Alabama",50538,3028,2016,"M","65-66"
1,"Alabama",74285,3684,2016,"M","67-69"
1,"Alabama",89058,3517,2016,"M","70-74"
1,"Alabama",58399,2580,2016,"M","75-79"
1,"Alabama",37631,2298,2016,"M","80-84"
1,"Alabama",28859,2204,2016,"M","85+"
1,"Alabama",143216,3084,2016,"F","00-04"
1,"Alabama",150739,4343,2016,"F","05-09"
1,"Alabama",145750,4811,2016,"F","10-14"
1,"Alabama",94573,2462,2016,"F","15-17"
1,"Alabama",68448,3164,2016,"F","18-19"
1,"Alabama",37055,3320,2016,"F","20"
1,"Alabama",31213,3289,2016,"F","21"
1,"Alabama",95586,4789,2016,"F","22-24"
1,"Alabama",163997,3317,2016,"F","25-29"
1,"Alabama",154129,3332,2016,"F","30-34"
1,"Alabama",155050,4865,2016,"F","35-39"
1,"Alabama",152028,5457,2016,"F","40-44"
1,"Alabama",163603,3015,2016,"F","45-49"
1,"Alabama",169017,2320,2016,"F","50-54"
1,"Alabama",178373,4556,2016,"F","55-59"
1,"Alabama",65377,3940,2016,"F","60-61"
1,"Alabama",93912,3776,2016,"F","62-64"
1,"Alabama",62562,3113,2016,"F","65-66"
1,"Alabama",81420,3547,2016,"F","67-69"
1,"Alabama",107806,3803,2016,"F","70-74"
1,"Alabama",78322,2721,2016,"F","75-79"
1,"Alabama",57542,3306,2016,"F","80-84"
1,"Alabama",57530,2854,2016,"F","85+"
1,"Alabama",4863300,NA,2016,NA,"total"
1,"Alabama",147385,3027,2017,"M","00-04"
1,"Alabama",153942,5530,2017,"M","05-09"
1,"Alabama",162755,5438,2017,"M","10-14"
1,"Alabama",95912,2623,2017,"M","15-17"
1,"Alabama",71934,2942,2017,"M","18-19"
1,"Alabama",32641,3308,2017,"M","20"
1,"Alabama",31439,3052,2017,"M","21"
1,"Alabama",98644,4210,2017,"M","22-24"
1,"Alabama",161111,3196,2017,"M","25-29"
1,"Alabama",148466,3114,2017,"M","30-34"
1,"Alabama",147518,5367,2017,"M","35-39"
1,"Alabama",144096,5587,2017,"M","40-44"
1,"Alabama",151684,2998,2017,"M","45-49"
1,"Alabama",154471,2265,2017,"M","50-54"
1,"Alabama",158562,4757,2017,"M","55-59"
1,"Alabama",62161,3878,2017,"M","60-61"
1,"Alabama",88328,4102,2017,"M","62-64"
1,"Alabama",52960,3252,2017,"M","65-66"
1,"Alabama",71056,3176,2017,"M","67-69"
1,"Alabama",98156,3504,2017,"M","70-74"
1,"Alabama",61269,2578,2017,"M","75-79"
1,"Alabama",37401,1967,2017,"M","80-84"
1,"Alabama",28005,2504,2017,"M","85+"
1,"Alabama",141512,2877,2017,"F","00-04"
1,"Alabama",145175,5784,2017,"F","05-09"
1,"Alabama",151854,5761,2017,"F","10-14"
1,"Alabama",95526,2766,2017,"F","15-17"
1,"Alabama",72804,4205,2017,"F","18-19"
1,"Alabama",39143,3970,2017,"F","20"
1,"Alabama",34961,3732,2017,"F","21"
1,"Alabama",89513,4794,2017,"F","22-24"
1,"Alabama",162584,3172,2017,"F","25-29"
1,"Alabama",156717,3273,2017,"F","30-34"
1,"Alabama",158138,5704,2017,"F","35-39"
1,"Alabama",146254,5089,2017,"F","40-44"
1,"Alabama",158683,2429,2017,"F","45-49"
1,"Alabama",165492,2166,2017,"F","50-54"
1,"Alabama",171250,4942,2017,"F","55-59"
1,"Alabama",68976,3905,2017,"F","60-61"
1,"Alabama",101900,4308,2017,"F","62-64"
1,"Alabama",59087,3424,2017,"F","65-66"
1,"Alabama",85615,3732,2017,"F","67-69"
1,"Alabama",114039,4198,2017,"F","70-74"
1,"Alabama",79961,3629,2017,"F","75-79"
1,"Alabama",61004,3469,2017,"F","80-84"
1,"Alabama",54663,2977,2017,"F","85+"
1,"Alabama",4874747,NA,2017,NA,"total"
1,"Alabama",149436,4319,2018,"M","00-04"
1,"Alabama",151958,5329,2018,"M","05-09"
1,"Alabama",164696,5903,2018,"M","10-14"
1,"Alabama",97945,2570,2018,"M","15-17"
1,"Alabama",72354,3271,2018,"M","18-19"
1,"Alabama",38027,3523,2018,"M","20"
1,"Alabama",35913,3096,2018,"M","21"
1,"Alabama",87578,4307,2018,"M","22-24"
1,"Alabama",162850,3609,2018,"M","25-29"
1,"Alabama",148415,3860,2018,"M","30-34"
1,"Alabama",144980,5485,2018,"M","35-39"
1,"Alabama",141474,5228,2018,"M","40-44"
1,"Alabama",149523,3476,2018,"M","45-49"
1,"Alabama",153378,3192,2018,"M","50-54"
1,"Alabama",159550,4720,2018,"M","55-59"
1,"Alabama",65854,4304,2018,"M","60-61"
1,"Alabama",84370,4115,2018,"M","62-64"
1,"Alabama",52413,2869,2018,"M","65-66"
1,"Alabama",72211,3413,2018,"M","67-69"
1,"Alabama",102466,4155,2018,"M","70-74"
1,"Alabama",67149,2501,2018,"M","75-79"
1,"Alabama",39597,2402,2018,"M","80-84"
1,"Alabama",27134,2201,2018,"M","85+"
1,"Alabama",139153,3593,2018,"F","00-04"
1,"Alabama",138411,5338,2018,"F","05-09"
1,"Alabama",156734,5839,2018,"F","10-14"
1,"Alabama",90772,3056,2018,"F","15-17"
1,"Alabama",71138,3140,2018,"F","18-19"
1,"Alabama",31749,3115,2018,"F","20"
1,"Alabama",29594,2858,2018,"F","21"
1,"Alabama",94949,4224,2018,"F","22-24"
1,"Alabama",169544,3161,2018,"F","25-29"
1,"Alabama",155167,3506,2018,"F","30-34"
1,"Alabama",150450,5617,2018,"F","35-39"
1,"Alabama",156576,5285,2018,"F","40-44"
1,"Alabama",160357,3307,2018,"F","45-49"
1,"Alabama",162915,2948,2018,"F","50-54"
1,"Alabama",173150,4582,2018,"F","55-59"
1,"Alabama",71993,4411,2018,"F","60-61"
1,"Alabama",97255,3899,2018,"F","62-64"
1,"Alabama",61506,3457,2018,"F","65-66"
1,"Alabama",83715,3853,2018,"F","67-69"
1,"Alabama",121085,3310,2018,"F","70-74"
1,"Alabama",85393,3214,2018,"F","75-79"
1,"Alabama",58886,2959,2018,"F","80-84"
1,"Alabama",58108,2992,2018,"F","85+"
1,"Alabama",4887871,NA,2018,NA,"total"
1,"Alabama",145128,4499,2019,"M","00-04"
1,"Alabama",148829,5739,2019,"M","05-09"
1,"Alabama",166244,5515,2019,"M","10-14"
1,"Alabama",96556,3354,2019,"M","15-17"
1,"Alabama",68393,3226,2019,"M","18-19"
1,"Alabama",33551,3782,2019,"M","20"
1,"Alabama",31985,3357,2019,"M","21"
1,"Alabama",92719,4901,2019,"M","22-24"
1,"Alabama",162250,3969,2019,"M","25-29"
1,"Alabama",154389,3752,2019,"M","30-34"
1,"Alabama",156135,6162,2019,"M","35-39"
1,"Alabama",137487,5351,2019,"M","40-44"
1,"Alabama",147542,3053,2019,"M","45-49"
1,"Alabama",145827,2914,2019,"M","50-54"
1,"Alabama",148502,4418,2019,"M","55-59"
1,"Alabama",66097,3427,2019,"M","60-61"
1,"Alabama",94934,4419,2019,"M","62-64"
1,"Alabama",53482,3215,2019,"M","65-66"
1,"Alabama",72730,3126,2019,"M","67-69"
1,"Alabama",106285,3218,2019,"M","70-74"
1,"Alabama",69081,3104,2019,"M","75-79"
1,"Alabama",43194,2688,2019,"M","80-84"
1,"Alabama",28271,2475,2019,"M","85+"
1,"Alabama",141469,3495,2019,"F","00-04"
1,"Alabama",145646,5303,2019,"F","05-09"
1,"Alabama",151401,5483,2019,"F","10-14"
1,"Alabama",90324,2316,2019,"F","15-17"
1,"Alabama",71398,3706,2019,"F","18-19"
1,"Alabama",35779,3819,2019,"F","20"
1,"Alabama",35232,3252,2019,"F","21"
1,"Alabama",88473,4535,2019,"F","22-24"
1,"Alabama",163088,3328,2019,"F","25-29"
1,"Alabama",157676,3460,2019,"F","30-34"
1,"Alabama",151003,6085,2019,"F","35-39"
1,"Alabama",161114,6551,2019,"F","40-44"
1,"Alabama",157687,2693,2019,"F","45-49"
1,"Alabama",158335,2897,2019,"F","50-54"
1,"Alabama",172794,5325,2019,"F","55-59"
1,"Alabama",72575,3930,2019,"F","60-61"
1,"Alabama",98311,4724,2019,"F","62-64"
1,"Alabama",59549,3473,2019,"F","65-66"
1,"Alabama",88564,3906,2019,"F","67-69"
1,"Alabama",124947,3859,2019,"F","70-74"
1,"Alabama",87675,3723,2019,"F","75-79"
1,"Alabama",64121,3772,2019,"F","80-84"
1,"Alabama",56413,3016,2019,"F","85+"
1,"Alabama",4903185,NA,2019,NA,"total"
1,"Alabama",149482,2753,2021,"M","00-04"
1,"Alabama",154786,5044,2021,"M","05-09"
1,"Alabama",168349,5077,2021,"M","10-14"
1,"Alabama",97886,2970,2021,"M","15-17"
1,"Alabama",70364,3696,2021,"M","18-19"
1,"Alabama",38216,3736,2021,"M","20"
